Id_bien;No_voie;Type_de_voie;Voie;Section;No_plan;Premier_Lot;Surface_Carrez_du_1er_Lot;Nombre_de_lots;Type_local;Surface_reelle_bati;Nb_piece_principale;Nature_culture;Nature_culture_speciale;Surface_terrain;CodeComm_CodeDep
113;4;RUE;AUX NAMPS;KH;86;24;34,83;1;Appartement;59;2;;;;14118
114;1;RUE;PESTEL;AK;178;2;12,44;1;Appartement;13;1;;;;14333
115;1;AV;P CASSAGNAVERE;AI;300;4085;53,76;1;Appartement;53;2;;;;14715
116;1;RUE;CHARLES KOECHLIN;AB;463;8;52,82;1;Maison;32;2;S;;792;14754
117;66;AV;DENFERT ROCHEREAU;BN;4;10;32,18;1;Appartement;33;1;;;;17300
118;6;RUE;DES MENDRIES;AE;1032;2;49,9;1;Maison;50;3;;;;17414
119;5;RES;DE LA HAUTE RIVE;AR;505;125;68,3;3;Appartement;67;4;;;;22113
120;33;RUE;ANATOLE LE BRAZ;AX;253;30;54,42;1;Appartement;57;2;;;;22168
121;16;BD;DE L ATLANTIQUE;AH;149;142;64;2;Appartement;64;4;;;;22278
122;19;AV;DAUMESNIL;BL;127;2;31,05;1;Appartement;33;1;;;;24322
123;850;CHE;DES GOUILLOTTES;B;561;1;127,96;4;Appartement;147;5;;;;25527
124;34;RUE;DU FAUBOURG ST JEAN;DB;271;11;106,03;1;Maison;105;5;;;;28085
125;22;RUE;THEAULON;AD;82;1;32,29;1;Appartement;50;2;;;;30003
126;145;QUAI;DE BILINA;CD;242;2;39,5;1;Appartement;39;2;;;;30007
127;80;RUE;DES ANEMONES;BZ;38;211;20;1;Appartement;19;1;;;;30133
128;4;RUE;ARNAVIELLE;EV;60;95;60,07;1;Appartement;60;3;;;;30189
129;3;RUE;DAUMESNIL;AD;953;16;54;2;Appartement;57;2;;;;32013
130;230;BD;DE LA REPUBLIQUE;AO;162;132;44,12;1;Appartement;44;2;;;;33005
131;52;RUE;DU TONDU;HA;74;11;61,16;1;Appartement;60;4;;;;33063
132;17;RUE;DES HIRONDELLES;AV;705;12;86,3;1;Maison;86;4;;;;33075
133;17;RUE;LAURENT FIGNON;AV;354;117;39,23;1;Appartement;45;2;;;;33550
134;7;AV;PASTEUR;AC;132;14;24,6;1;Appartement;24;1;;;;34023
135;5;RUE;HENRI HERTZ;BT;298;4;42,2;1;Appartement;42;2;;;;37261
136;4;ALL;DES ERABLES;DR;1019;95;63,1;1;Appartement;70;3;;;;37261
137;6;RUE;DOYEN GOSSE;AH;769;29;21;3;Appartement;20;1;;;;38169
138;4;PL;BIR HAKEIM;BY;31;142;95,74;2;Appartement;95;3;;;;38185
139;13;AV;DE LA MUZELLE MT DE LANS;AH;26;13;60,55;1;Appartement;62;3;;;;38253
140;176;AV;GABRIELE  D ANNUNZIO;BC;217;33;29,78;1;Maison;25;1;;;;40046
141;49;AV;VICTOR HUGO;BV;206;3;18,63;1;Appartement;19;1;;;;40088
142;112;AV;DU MARENSIN;BL;227;1;82,35;1;Maison;47;3;;;;40304
143;2;CHE;DES GREFFIERS;AB;362;7;94,39;1;Maison;93;4;AG;;396;42256
144;52;BD;DE L EGALITE;IP;661;11;62,14;2;Appartement;64;3;;;;44109
145;18;RUE;BONNE GARDE;DM;293;242;47,34;2;Appartement;47;2;;;;44190
146;1;RUE;PAUL VERLAINE;AD;274;33;42,25;1;Appartement;42;2;;;;44204
147;239;FG;SAINT VINCENT;BX;475;16;65,71;1;Appartement;65;3;;;;45234
148;13;ALL;DES ERABLES;BE;605;121;72,37;1;Appartement;69;1;;;;45286
149;74;RTE;DE COUTANCES;AE;94;12;57,88;1;Appartement;47;2;;;;50002
150;7;IMP;DES CARMELITES;IK;1347;137;119,95;1;Appartement;121;4;;;;51454
151;21;RUE;DES SOEURS MACARONS;BW;95;13;36,6;1;Appartement;38;2;;;;54395
152;2;RES;DE PORH MEN GUEN;AB;621;56;97,51;1;Appartement;105;3;;;;56062
153;19;AV;SIMONE;BL;47;112;80,09;2;Appartement;80;3;;;;59368
154;42;RUE;JEAN JAURES;BW;288;3;29,73;1;Maison;30;2;;;;59378
155;468;RUE;HENRI DURRE;AT;691;1;153,25;1;Maison;139;5;;;;59491
156;2;RUE;AMPERE;AI;49;24;41;1;Appartement;37;1;;;;60159
157;59;RUE;DU GENERAL MANGIN;AZ;35;3;220,72;1;Maison;210;8;;;;60159
158;35;IMP;JEAN DE LA FONTAINE;AL;11;166;30,38;1;Appartement;30;2;;;;60382
159;1;AV;JACQUES CARTIER;AP;304;1501;72,91;1;Appartement;74;4;;;;60395
160;34;AV;DE LA GARE;AE;388;2;67,47;1;Appartement;68;3;;;;60524
161;76;PL;GRAND PLACE;AB;582;5;45,5;1;Appartement;45;2;;;;62041
162;31;RUE;HIPPOLYTE GOMOT;BX;168;6;62,72;1;Appartement;47;2;;;;63300
163;6;AV;DE LA GARE;AA;72;1006;108,84;1;Appartement;109;4;;;;69003
164;78;RUE;DES COLLONGES;BH;235;3;43,25;1;Appartement;43;2;;;;69204
165;496;RUE;ETIENNE POULET;AI;10;5;78,72;1;Appartement;71;3;;;;69264
166;72;RUE;SAINT PIERRE DE VAISE;BR;10;6;32,82;1;Appartement;38;1;;;;69389
167;2;PL;DE LA RHODIACETA;BT;147;35;75,31;1;Appartement;75;3;;;;69389
168;24;RUE;DE LA BANQUE;A;282;3;75,87;2;Appartement;76;4;;;;70550
169;22;RUE;D ALSACE LORRAINE;B;658;7;168,38;1;Appartement;106;4;;;;70550
170;13;RTE;DES MOULINS;B;4731;24;21,29;1;Appartement;21;1;;;;74014
171;110;RTE;DE LA SAUGE;AE;590;86;76,14;1;Appartement;76;3;;;;74249
172;192;RUE;SAINT DENIS;AN;63;11;36,91;1;Appartement;37;3;;;;75102
173;24;RUE;DE SAINTONGE;AK;80;74;66;1;Appartement;12;1;;;;75103
174;8;RUE;SAINT PAUL;AQ;126;84;25,34;1;Appartement;25;2;;;;75104
175;30;RUE;DES BOULANGERS;AH;30;3;21,34;2;Appartement;20;1;;;;75105
176;36;RUE;DE BUCI;BJ;18;56;28,55;1;Appartement;28;1;;;;75106
177;7;RUE;COGNACQ JAY;CN;19;129;82,62;2;Appartement;83;3;;;;75107
178;38;AV;CLAUDE VELLEFAUX;BM;53;17;30,18;1;Appartement;31;2;;;;75110
