Id_ventes;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;Id_refbien
339;1;06/01/2020;Vente;78000;339
340;1;06/01/2020;Vente;204000;340
341;1;06/01/2020;Vente;155000;341
342;1;06/01/2020;Vente;134000;342
343;1;06/01/2020;Vente;97000;343
344;1;06/01/2020;Vente;162000;344
345;1;06/01/2020;Vente;142200;345
346;1;06/01/2020;Vente;214000;346
347;1;06/01/2020;Vente;240000;347
348;1;06/01/2020;Vente;120000;348
349;1;06/01/2020;Vente;75200;349
350;1;06/01/2020;Vente;33000;350
351;1;06/01/2020;Vente;31000;351
352;1;06/01/2020;Vente;43000;352
353;1;06/01/2020;Vente;44950;353
354;1;06/01/2020;Vente;138000;354
355;1;06/01/2020;Vente;221300;355
356;1;06/01/2020;Vente;291000;356
357;1;06/01/2020;Vente;145000;357
358;1;06/01/2020;Vente;106000;358
359;1;06/01/2020;Vente;87000;359
360;1;06/01/2020;Vente;127900;360
361;1;06/01/2020;Vente;47000;361
362;1;06/01/2020;Vente;105003;362
363;1;06/01/2020;Vente;37000;363
364;1;06/01/2020;Vente;85500;364
365;1;06/01/2020;Vente;88000;365
366;1;06/01/2020;Vente;30500;366
367;1;06/01/2020;Vente;52381;367
368;1;06/01/2020;Vente;46000;368
369;1;06/01/2020;Vente;86000;369
370;1;06/01/2020;Vente;120300;370
371;1;06/01/2020;Vente;158500;371
372;1;06/01/2020;Vente;270000;372
373;1;06/01/2020;Vente;130000;373
374;1;06/01/2020;Vente;265320;374
375;1;06/01/2020;Vente;325000;375
376;1;06/01/2020;Vente;99900;376
377;1;06/01/2020;Vente;130000;377
378;1;06/01/2020;Vente;202380;378
379;1;06/01/2020;Vente;300000;379
380;1;06/01/2020;Vente;38200;380
381;1;06/01/2020;Vente;240000;381
382;1;06/01/2020;Vente;43000;382
383;1;06/01/2020;Vente;169000;383
384;1;06/01/2020;Vente;368000;384
385;1;06/01/2020;Vente;106574,1;385
386;1;06/01/2020;Vente;449000;386
387;1;06/01/2020;Vente;334450;387
388;1;06/01/2020;Vente;380000;388
389;1;06/01/2020;Vente;1829700;389
390;1;06/01/2020;Vente;3380000;390
391;1;06/01/2020;Vente;1565002;391
392;1;06/01/2020;Vente;800000;392
393;1;06/01/2020;Vente;362050;393
394;1;06/01/2020;Vente;482000;394
395;1;06/01/2020;Vente;601400;395
396;1;06/01/2020;Vente;506500;396
397;1;06/01/2020;Vente;204650;397
